Invoice Text,Category
GITHUB database hosting,Cloud/Software
FEDEX road transport,Logistics
GITHUB saas license INV-2026-8573,Cloud/Software
PaperMart staplers Amt INR 39736,Office Supplies
industrial inventory from PackRight,Inventory
Energy Board water utility charges,Utilities
finished goods procurement from ChemStore,Inventory
HP Store invoice for desk supplies Amt INR 39736,Office Supplies
annual renewal from Microsoft,Cloud/Software
UPS invoice for road transport PO#19232,Logistics
Maersk express parcel ref:926762,Logistics
Microsoft - annual renewal for corporate account,Cloud/Software
PackRight packaging materials,Inventory
industrial inventory billed by SteelWorks INV-2026-8573,Inventory
Microsoft collaboration software,Cloud/Software
water charges from Energy Board Amt INR 39736,Utilities
warehouse delivery from FedEx PO#19232,Logistics
packaging materials from Industrial Hub,Inventory
SteelWorks - bulk procurement of components for corporate account PO#19232,Inventory
annual renewal billed by OpenAI INV-2026-8573,Cloud/Software
ChemStore invoice for metal fasteners,Inventory
annual renewal billed by GitHub,Cloud/Software
Ola - flight ticket for corporate account INV-2026-8573,Travel
MAERSK air freight,Logistics
Air India hotel accommodation PO#19232,Travel
Canon Supplies - desk supplies for corporate account,Office Supplies
PAPERMART notebooks,Office Supplies
water charges billed by CESC PO#19232,Utilities
SteelWorks - bulk procurement of components for corporate account,Inventory
CESC water utility charges,Utilities
GATI air freight,Logistics
cloud hosting billed by OpenAI,Cloud/Software
Global Traders invoice for packaging materials,Inventory
gas utility payment from Airtel,Utilities
Adobe SaaS license INV-2026-8573,Cloud/Software
ElectroParts - industrial inventory for corporate account,Inventory
water utility charges from Airtel,Utilities
CESC gas utility payment INV-2026-8573,Utilities
AKASA AIR hotel accommodation Amt INR 39736,Travel
Staples inv0ice for folders and binders INV-2026-8573,Office Supplies
freight charges from FedEx,Logistics
DELHIVERY shipping surcharge ref:926762,Logistics
Blue Dart express parcel Amt INR 39736,Logistics
Salesforce API usage charges PO#19232,Cloud/Software
AgriSupply - packaging materials for corporate account Amt INR 39736,Inventory
Tata Power internet bill ref:926762,Utilities
PrintHub printer toner INV-2026-8573,Office Supplies
IHG Hotels invoice for lodging charges PO#19232,Travel
SpiceJet invoice for flight ticket,Travel
OpenAI invoice for database hosting,Cloud/Software
ChemStore invoice for industrial inventory INV-2026-8573,Inventory
Blue Dart invoice for warehouse delivery Amt INR 39736,Logistics
CESC invoice for internet bill INV-2026-8573,Utilities
AgriSupply SKU inventory purchase INV-2026-8573,Inventory
shipping surcharge from Delhivery,Logistics
PAPERMART desk supplies,Office Supplies
Atlassian API usage charges PO#19232,Cloud/Software
folders and binders billed by PrintHub,Office Supplies
Local Office Mart - office stationery for corporate account ref:926762,Office Supplies
container movement from UPS,Logistics
finished goods procurement billed by AgriSupply PO#19232,Inventory
annual renewal billed by Atlassian,Cloud/Software
HP Store folders and binders Amt INR 39736,Office Supplies
SpiceJet inv0ice for airport transfer PO#19232,Travel
utility surcharge billed by Vodafone,Utilities
telephone charges billed by Municipal Water Amt INR 39736,Utilities
airfare for business trip billed by Ola,Travel
HP Store - printer toner for corporate account,Office Supplies
PrintHub staplers ref:926762,Office Supplies
shipping surcharge from FedEx Amt INR 39736,Logistics
rail ticket booking from IRCTC,Travel
AgriSupply invoice for metal fasteners ref:926762,Inventory
PrintHub - desk supplies for corporate account,Office Supplies
express parcel from Gati Amt INR 39736,Logistics
SpiceJet invoice for airfare for business trip Amt INR 39736,Travel
shipping surcharge from Blue Dart Amt INR 39736,Logistics
OLA cab reimbursement,Travel
express parcel billed by DHL,Logistics
monthly compute usage from GitHub,Cloud/Software
database hosting billed by Salesforce INV-2026-8573,Cloud/Software
MAERSK express parcel ref:926762,Logistics
lodging charges from MakeMyTrip,Travel
OFFICE DEPOT printer toner,Office Supplies
ChemStore inv0ice for warehouse stock replenishment,Inventory
PaperMart - printer paper for corporate account,Office Supplies
INDIGO rail ticket booking PO#19232,Travel
Ola client meeting travel PO#19232,Travel
SteelWorks inv0ice for SKU inventory purchase,Inventory
ENERGY BOARD internet bill,Utilities
Jio Fiber invoice for water charges Amt INR 39736,Utilities
UPS road transport Amt INR 39736,Logistics
travel expense from Marriott,Travel
flight ticket from Uber ref:926762,Travel
water charges billed by CESC ref:926762,Utilities
PaperMart printer cartridges ref:926762,Office Supplies
FEDEX cargo handling,Logistics
API usage charges from OpenAI ref:926762,Cloud/Software
Jio Fiber - telephone charges for corporate account,Utilities
whiteboard markers from HP Store ref:926762,Office Supplies
MakeMyTrip invoice for rail ticket booking INV-2026-8573,Travel
GitHub - SaaS license for corporate account Amt INR 39736,Cloud/Software
gas utility payment from Tata Power,Utilities
Uber - airfare for business trip for corporate account,Travel
UBER client meeting travel PO#19232,Travel
FedEx - shipping surcharge for corporate account,Logistics
Oracle invoice for software subscription PO#19232,Cloud/Software
Zoho invoice for API usage charges,Cloud/Software
Maersk container movement,Logistics
XpressBees - warehouse delivery for corporate account ref:926762,Logistics
AWS crm subscription,Cloud/Software
SpiceJet - travel expense for corporate account,Travel
Mega Wholesale invoice for packaging materials PO#19232,Inventory
AGRISUPPLY electronic components,Inventory
MUNICIPAL WATER office electricity usage Amt INR 39736,Utilities
rail ticket booking from Marriott INV-2026-8573,Travel
Airtel invoice for water utility charges,Utilities
software subscription billed by Atlassian,Cloud/Software
hotel accommodation from Ola PO#19232,Travel
Industrial Hub warehouse stock replenishment,Inventory
ChemStore invoice for SKU inventory purchase,Inventory
BSNL utility surcharge,Utilities
express parcel from XpressBees INV-2026-8573,Logistics
Energy Board - broadband invoice for corporate account Amt INR 39736,Utilities
Vodafone gas utility payment ref:926762,Utilities
Airtel inv0ice for utility surcharge,Utilities
SteelWorks - industrial inventory for corporate account ref:926762,Inventory
GLOBAL TRADERS bulk procurement of components,Inventory
Airtel invoice for telephone charges Amt INR 39736,Utilities
ChemStore bulk procurement of components INV-2026-8573,Inventory
MakeMyTrip airport transfer Amt INR 39736,Travel
MAKEMYTRIP flight ticket INV-2026-8573,Travel
ELECTROPARTS manufacturing supplies PO#19232,Inventory
Microsoft - SaaS license for corporate account ref:926762,Cloud/Software
MAERSK freight charges,Logistics
express parcel from UPS PO#19232,Logistics
FEDEX freight charges INV-2026-8573,Logistics
DELHIVERY container movement PO#19232,Logistics
Global Traders inv0ice for SKU inventory purchase,Inventory
whiteboard markers from WB Stationers PO#19232,Office Supplies
INDUSTRIAL HUB packaging materials Amt INR 39736,Inventory
printer cartridges billed by Office Depot,Office Supplies
ADOBE database hosting Amt INR 39736,Cloud/Software
air freight from UPS,Logistics
Salesforce monthly compute usage,Cloud/Software
SteelWorks metal fasteners Amt INR 39736,Inventory
lodging chg billed by Ola PO#19232,Travel
water utility charges from Airtel PO#19232,Utilities
Energy Board utility surcharge ref:926762,Utilities
Google Cloud - cloud hosting for corporate account ref:926762,Cloud/Software
industrial inventory from Industrial Hub,Inventory
Canon Supplies office stationery,Office Supplies
Blue Dart invoice for express parcel Amt INR 39736,Logistics
airfare for business trip from Uber Amt INR 39736,Travel
Akasa Air conference travel,Travel
ENERGY BOARD telephone charges,Utilities
printer toner billed by Office Depot,Office Supplies
Energy Board electricity bill PO#19232,Utilities
office stationery from Local Office Mart,Office Supplies
SpiceJet invoice for airport transfer ref:926762,Travel
raw material purchase billed by Industrial Hub Amt INR 39736,Inventory
BSNL invoice for water utility charges Amt INR 39736,Utilities
desk supplies from HP Store Amt INR 39736,Office Supplies
Salesforce annual renewal INV-2026-8573,Cloud/Software
broadband invoice from Vodafone,Utilities
manufacturing supplies from ElectroParts,Inventory
Jio Fiber invoice for water utility charges,Utilities
PaperMart - whiteboard markers for corporate account Amt INR 39736,Office Supplies
Energy Board office electricity usage,Utilities
PackRight invoice for SKU inventory purchase ref:926762,Inventory
DTDC - courier charges for corporate account PO#19232,Logistics
Zoho invoice for collaboration software ref:926762,Cloud/Software
Airtel - gas utility payment for corporate account,Utilities
ADOBE crm subscription,Cloud/Software
Airtel - meter consumption charges for corporate account ref:926762,Utilities
PrintHub desk supplies,Office Supplies
staplers from WB Stationers INV-2026-8573,Office Supplies
flight ticket from IRCTC Amt INR 39736,Travel
Adobe invoice for SaaS license,Cloud/Software
Adobe invoice for cloud hosting ref:926762,Cloud/Software
Blue Dart last mile shipment ref:926762,Logistics
manufacturing supplies billed by Global Traders Amt INR 39736,Inventory
water charges billed by Municipal Water Amt INR 39736,Utilities
SpiceJet invoice for client meeting travel Amt INR 39736,Travel
cloud hosting billed by GitHub PO#19232,Cloud/Software
desk supplies billed by Staples,Office Supplies
road transport billed by DTDC Amt INR 39736,Logistics
API usage chg billed by Salesforce INV-2026-8573,Cloud/Software
UBER flight ticket,Travel
Microsoft - API usage chg for corporate account,Cloud/Software
Airtel internet bill INV-2026-8573,Utilities
WB STATIONERS folders and binders INV-2026-8573,Office Supplies
DTDC container movement,Logistics
manufacturing supplies from Global Traders,Inventory
MUNICIPAL WATER office electricity usage,Utilities
SaaS license billed by Adobe,Cloud/Software
ElectroParts electronic components,Inventory
Blue Dart - shipping surcharge for corporate account PO#19232,Logistics
SpiceJet cab reimbursement,Travel
Maersk last mile shipment,Logistics
TATA POWER broadband invoice,Utilities
office pens billed by Staples,Office Supplies
Google Cloud developer tools ref:926762,Cloud/Software
GitHub inv0ice for software subscription,Cloud/Software
CRM subscription from Salesforce Amt INR 39736,Cloud/Software
industrial inventory from ChemStore Amt INR 39736,Inventory
Air India lodging charges ref:926762,Travel
telephone charges billed by BSNL PO#19232,Utilities
Local Office Mart - office pens for corporate account ref:926762,Office Supplies
freight charges from Maersk,Logistics
CRM subscription from Adobe,Cloud/Software
ENERGY BOARD electricity bill INV-2026-8573,Utilities
lodging charges from Akasa Air INV-2026-8573,Travel
Salesforce - annual renewal for corporate account,Cloud/Software
ZOHO saas license,Cloud/Software
last mile shipment from DTDC,Logistics
PackRight invoice for SKU inventory purchase INV-2026-8573,Inventory
DHL - warehouse delivery for corporate account,Logistics
MUNICIPAL WATER water utility charges,Utilities
Maersk shipping surcharge ref:926762,Logistics
database hosting billed by Oracle INV-2026-8573,Cloud/Software
water chg billed by Tata Power Amt INR 39736,Utilities
Maersk - air freight for corporate account,Logistics
Oracle invoice for collaboration software,Cloud/Software
Jio Fiber - internet bill for corporate account,Utilities
ElectroParts invoice for SKU inventory purchase,Inventory
Atlassian invoice for collaboration software PO#19232,Cloud/Software
packaging materials from AgriSupply,Inventory
road transport from Blue Dart ref:926762,Logistics
SteelWorks industrial inventory PO#19232,Inventory
Municipal Water invoice for water charges,Utilities
Atlassian CRM subscription ref:926762,Cloud/Software
Canon Supplies whiteboard markers Amt INR 39736,Office Supplies
telephone charges billed by Jio Fiber,Utilities
Canon Supplies invoice for office stationery,Office Supplies
office pens from PaperMart INV-2026-8573,Office Supplies
OLA travel expense,Travel
developer tools from Google Cloud,Cloud/Software
Delhivery - road transport for corporate account ref:926762,Logistics
AgriSupply - manufacturing supplies for corporate account ref:926762,Inventory
packaging materials billed by Mega Wholesale INV-2026-8573,Inventory
Tata Power - water utility charges for corporate account PO#19232,Utilities
IRCTC - hotel accommodation for corporate account,Travel
TATA POWER meter consumption chg Amt INR 39736,Utilities
rail ticket booking billed by Ola Amt INR 39736,Travel
ENERGY BOARD telephone charges,Utilities
AgriSupply invoice for bulk procurement of components,Inventory
ELECTROPARTS warehouse stock replenishment ref:926762,Inventory
Blue Dart container movement PO#19232,Logistics
HP Store - printer paper for corporate account,Office Supplies
Local Office Mart notebooks INV-2026-8573,Office Supplies
Oracle CRM subscription,Cloud/Software
office stationery billed by WB Stationers,Office Supplies
staplers billed by HP Store,Office Supplies
AGRISUPPLY electronic components ref:926762,Inventory
ATLASSIAN software subscription INV-2026-8573,Cloud/Software
ORACLE saas license PO#19232,Cloud/Software
Tata Power meter consumption charges,Utilities
DHL invoice for air freight,Logistics
BSNL water charges PO#19232,Utilities
MakeMyTrip invoice for lodging charges,Travel
LOCAL OFFICE MART desk supplies PO#19232,Office Supplies
freight charges from Gati,Logistics
Delhivery road transport ref:926762,Logistics
Staples staplers,Office Supplies
broadband invoice from Jio Fiber,Utilities
CESC internet bill,Utilities
Global Traders metal fasteners ref:926762,Inventory
internet bill from Jio Fiber INV-2026-8573,Utilities
OpenAI software subscription ref:926762,Cloud/Software
Gati express parcel Amt INR 39736,Logistics
meter consumption charges billed by Airtel ref:926762,Utilities
Local Office Mart invoice for office pens INV-2026-8573,Office Supplies
hotel accommodation from Ola ref:926762,Travel
SPICEJET conference travel ref:926762,Travel
annual renewal from Google Cloud Amt INR 39736,Cloud/Software
database hosting from Salesforce PO#19232,Cloud/Software
Office Depot printer paper,Office Supplies
cloud hosting from Oracle,Cloud/Software
AGRISUPPLY warehouse stock replenishment PO#19232,Inventory
Jio Fiber invoice for internet bill Amt INR 39736,Utilities
manufacturing supplies from AgriSupply,Inventory
Salesforce SaaS license,Cloud/Software
SKU inventory purchase billed by PackRight Amt INR 39736,Inventory
Microsoft database hosting ref:926762,Cloud/Software
Industrial Hub metal fasteners INV-2026-8573,Inventory
notebooks from HP Store ref:926762,Office Supplies
desk supplies billed by Office Depot PO#19232,Office Supplies
Jio Fiber invoice for meter consumption charges PO#19232,Utilities
cargo handling billed by XpressBees ref:926762,Logistics
printer paper billed by WB Stationers INV-2026-8573,Office Supplies
Jio Fiber invoice for internet bill PO#19232,Utilities
Google Cloud CRM subscription,Cloud/Software
Energy Board - broadband invoice for corporate account PO#19232,Utilities
Salesforce monthly compute usage PO#19232,Cloud/Software
SKU inventory purchase from Industrial Hub INV-2026-8573,Inventory
staplers billed by PrintHub Amt INR 39736,Office Supplies
SKU inventory purchase from Global Traders PO#19232,Inventory
collaboration software from Adobe,Cloud/Software
PackRight SKU inventory purchase ref:926762,Inventory
ORACLE cloud hosting,Cloud/Software
office pens billed by Staples,Office Supplies
SKU inventory purchase billed by Industrial Hub PO#19232,Inventory
Atlassian software subscription ref:926762,Cloud/Software
conference travel billed by MakeMyTrip ref:926762,Travel
Adobe monthly compute usage Amt INR 39736,Cloud/Software
Delhivery invoice for road transport PO#19232,Logistics
manufacturing supplies billed by Global Traders INV-2026-8573,Inventory
API usage charges from OpenAI Amt INR 39736,Cloud/Software
folders and binders billed by HP Store,Office Supplies
Municipal Water - utility surcharge for corporate account ref:926762,Utilities
Jio Fiber - utility surcharge for corporate account Amt INR 39736,Utilities
Industrial Hub - electronic components for corporate account Amt INR 39736,Inventory
BSNL water utility chg,Utilities
Gati - courier charges for corporate account Amt INR 39736,Logistics
PRINTHUB printer toner,Office Supplies
Maersk invoice for cargo handling Amt INR 39736,Logistics
Global Traders warehouse stock replenishment INV-2026-8573,Inventory
DHL - container movement for corporate account,Logistics
MUNICIPAL WATER water utility chg,Utilities
airfare for business trip billed by MakeMyTrip PO#19232,Travel
airfare for business trip from IndiGo,Travel
IndiGo flight ticket PO#19232,Travel
DTDC road transport,Logistics
AWS invoice for monthly compute usage,Cloud/Software
AGRISUPPLY electronic components,Inventory
Air India invoice for rail ticket booking,Travel
ChemStore invoice for bulk procurement of components PO#19232,Inventory
conference travel billed by MakeMyTrip,Travel
BSNL invoice for meter consumption charges,Utilities
warehouse delivery billed by UPS PO#19232,Logistics
annual renewal billed by GitHub,Cloud/Software
MakeMyTrip invoice for hotel accommodation INV-2026-8573,Travel
MARRIOTT client meeting travel PO#19232,Travel
LOCAL OFFICE MART staplers,Office Supplies
STAPLES printer cartridges INV-2026-8573,Office Supplies
PaperMart invoice for printer cartridges Amt INR 39736,Office Supplies
FedEx invoice for cargo handling,Logistics
IHG Hotels invoice for client meeting travel,Travel
collaboration software billed by AWS,Cloud/Software
CESC invoice for utility surcharge,Utilities
Microsoft - CRM subscription for corporate account Amt INR 39736,Cloud/Software
ZOHO monthly compute usage INV-2026-8573,Cloud/Software
staplers billed by PrintHub INV-2026-8573,Office Supplies
database hosting billed by OpenAI INV-2026-8573,Cloud/Software
Tata Power invoice for broadband invoice INV-2026-8573,Utilities
Zoho invoice for software subscription INV-2026-8573,Cloud/Software
Industrial Hub invoice for SKU inventory purchase,Inventory
Maersk - last mile shipment for corporate account Amt INR 39736,Logistics
metal fasteners from AgriSupply ref:926762,Inventory
LOCAL OFFICE MART folders and binders INV-2026-8573,Office Supplies
Microsoft - collaboration software for corporate account INV-2026-8573,Cloud/Software
office pens from Local Office Mart,Office Supplies
SteelWorks metal fasteners,Inventory
software subscription from Oracle PO#19232,Cloud/Software
Adobe - monthly compute usage for corporate account,Cloud/Software
XPRESSBEES courier charges,Logistics
CHEMSTORE bulk procurement of components PO#19232,Inventory
HP STORE printer paper,Office Supplies
PaperMart - folders and binders for corporate account Amt INR 39736,Office Supplies
staplers billed by Staples Amt INR 39736,Office Supplies
Staples staplers Amt INR 39736,Office Supplies
IRCTC flight ticket Amt INR 39736,Travel
SaaS license billed by Microsoft Amt INR 39736,Cloud/Software
Air India airport transfer PO#19232,Travel
utility surcharge from BSNL Amt INR 39736,Utilities
annual renewal from Microsoft ref:926762,Cloud/Software
CESC - broadband invoice for corporate account,Utilities
XpressBees cargo handling INV-2026-8573,Logistics
OLA client meeting travel PO#19232,Travel
SteelWorks invoice for manufacturing supplies Amt INR 39736,Inventory
ADOBE saas license,Cloud/Software
water chg billed by Tata Power,Utilities
PRINTHUB desk supplies,Office Supplies
Delhivery air freight INV-2026-8573,Logistics
Blue Dart - container movement for corporate account PO#19232,Logistics
Mega Wholesale bulk procurement of components Amt INR 39736,Inventory
API usage chg billed by Zoho PO#19232,Cloud/Software
OPENAI api usage charges,Cloud/Software
water utility charges billed by Jio Fiber,Utilities
conference travel billed by Ola,Travel
OpenAI monthly compute usage PO#19232,Cloud/Software
database hosting from Microsoft INV-2026-8573,Cloud/Software
IRCTC - flight ticket for corporate account Amt INR 39736,Travel
UPS invoice for container movement Amt INR 39736,Logistics
collaboration software from Microsoft Amt INR 39736,Cloud/Software
OLA client meeting travel,Travel
SaaS license billed by Google Cloud,Cloud/Software
Mega Wholesale inv0ice for packaging materials ref:926762,Inventory
gas utility payment from Energy Board,Utilities
electronic components billed by ElectroParts INV-2026-8573,Inventory
Salesforce CRM subscription,Cloud/Software
GitHub - SaaS license for corporate account,Cloud/Software
airfare for business trip from IRCTC,Travel
WB Stationers - office pens for corporate account,Office Supplies
Atlassian annual renewal Amt INR 39736,Cloud/Software
AKASA AIR travel expense PO#19232,Travel
Mega Wholesale invoice for metal fasteners PO#19232,Inventory
OpenAI - database hosting for corporate account INV-2026-8573,Cloud/Software
UPS courier charges,Logistics
whiteboard markers from Office Depot,Office Supplies
printer paper billed by PaperMart ref:926762,Office Supplies
Tata Power meter consumption charges PO#19232,Utilities
developer tools from Google Cloud INV-2026-8573,Cloud/Software
WB Stationers - desk supplies for corporate account ref:926762,Office Supplies
OLA lodging chg,Travel
TATA POWER internet bill,Utilities
BSNL electricity bill INV-2026-8573,Utilities
SKU inventory purchase from AgriSupply INV-2026-8573,Inventory
Airtel - internet bill for corporate account,Utilities
Local Office Mart - office pens for corporate account ref:926762,Office Supplies
Shadowfax invoice for last mile shipment Amt INR 39736,Logistics
FEDEX air freight PO#19232,Logistics
staplers billed by Local Office Mart INV-2026-8573,Office Supplies
Atlassian inv0ice for annual renewal PO#19232,Cloud/Software
cargo handling billed by Maersk,Logistics
water chg billed by Vodafone,Utilities
Gati road transport ref:926762,Logistics
packaging materials billed by ElectroParts PO#19232,Inventory
ChemStore - manufacturing supplies for corporate account PO#19232,Inventory
Zoho - API usage chg for corporate account,Cloud/Software
utility surcharge billed by Tata Power PO#19232,Utilities
ZOHO api usage charges INV-2026-8573,Cloud/Software
XpressBees inv0ice for freight chg INV-2026-8573,Logistics
UPS invoice for warehouse delivery,Logistics
ENERGY BOARD gas utility payment,Utilities
printer paper from PrintHub,Office Supplies
office pens billed by Staples PO#19232,Office Supplies
cargo handling billed by Gati Amt INR 39736,Logistics
AgriSupply raw material purchase ref:926762,Inventory
XPRESSBEES shipping surcharge ref:926762,Logistics
XpressBees inv0ice for air freight PO#19232,Logistics
PaperMart office stationery,Office Supplies
office stationery from Local Office Mart,Office Supplies
container movement from Blue Dart,Logistics
OFFICE DEPOT printer toner,Office Supplies
AGRISUPPLY raw material purchase PO#19232,Inventory
SteelWorks - warehouse stock replenishment for corporate account PO#19232,Inventory
MakeMyTrip - flight ticket for corporate account Amt INR 39736,Travel
ElectroParts invoice for electronic components ref:926762,Inventory
Marriott conference travel,Travel
CESC inv0ice for office electricity usage PO#19232,Utilities
Energy Board telephone charges,Utilities
DTDC shipping surcharge INV-2026-8573,Logistics
finished goods procurement from PackRight,Inventory
UBER flight ticket PO#19232,Travel
ZOHO collaboration software ref:926762,Cloud/Software
DTDC invoice for express parcel,Logistics
Maersk invoice for road transport Amt INR 39736,Logistics
UBER airfare for business trip,Travel
ElectroParts invoice for bulk procurement of components,Inventory
SteelWorks - industrial inventory for corporate account,Inventory
SKU inventory purchase billed by Mega Wholesale,Inventory
PrintHub notebooks INV-2026-8573,Office Supplies
ZOHO cloud hosting PO#19232,Cloud/Software
courier charges from Delhivery,Logistics
Industrial Hub SKU inventory purchase Amt INR 39736,Inventory
Airtel meter consumption charges,Utilities
STEELWORKS packaging materials INV-2026-8573,Inventory
freight charges from Blue Dart,Logistics
lodging charges billed by Uber,Travel
AIR INDIA rail ticket booking INV-2026-8573,Travel
INDUSTRIAL HUB metal fasteners,Inventory
electronic components from AgriSupply,Inventory
whiteboard markers from WB Stationers,Office Supplies
IndiGo inv0ice for hotel accommodation INV-2026-8573,Travel
AWS - monthly compute usage for corporate account INV-2026-8573,Cloud/Software
Airtel office electricity usage Amt INR 39736,Utilities
MEGA WHOLESALE electronic components ref:926762,Inventory
PaperMart printer paper ref:926762,Office Supplies
Blue Dart inv0ice for express parcel,Logistics
airfare for business trip billed by Akasa Air,Travel
Vodafone broadband inv0ice PO#19232,Utilities
water utility charges from Jio Fiber,Utilities
MEGA WHOLESALE electronic components,Inventory
CRM subscription billed by Zoho,Cloud/Software
freight charges from XpressBees Amt INR 39736,Logistics
manufacturing supplies billed by AgriSupply,Inventory
DELHIVERY freight charges Amt INR 39736,Logistics
express parcel from Delhivery Amt INR 39736,Logistics
Staples invoice for folders and binders,Office Supplies
electricity bill from Tata Power,Utilities
HP Store - staplers for corporate account,Office Supplies
developer tools billed by Atlassian,Cloud/Software
Airtel inv0ice for electricity bill,Utilities
MICROSOFT api usage chg Amt INR 39736,Cloud/Software
SPICEJET flight ticket INV-2026-8573,Travel
AWS inv0ice for collaboration software Amt INR 39736,Cloud/Software
DHL invoice for shipping surcharge,Logistics
Microsoft invoice for monthly compute usage,Cloud/Software
PRINTHUB desk supplies Amt INR 39736,Office Supplies
flight ticket billed by IRCTC,Travel
cargo handling from DTDC INV-2026-8573,Logistics
DTDC invoice for air freight,Logistics
Google Cloud invoice for monthly compute usage,Cloud/Software
Uber - airfare for business trip for corporate account Amt INR 39736,Travel
MARRIOTT lodging charges,Travel
electricity bill billed by Jio Fiber ref:926762,Utilities
SaaS license from Google Cloud PO#19232,Cloud/Software
Blue Dart invoice for warehouse delivery Amt INR 39736,Logistics
office pens from Local Office Mart ref:926762,Office Supplies
AGRISUPPLY sku inventory purchase,Inventory
folders and binders from PrintHub Amt INR 39736,Office Supplies
annual renewal from Zoho,Cloud/Software
raw material purchase billed by Industrial Hub ref:926762,Inventory
hotel accommodation from Akasa Air Amt INR 39736,Travel
ENERGY BOARD broadband invoice Amt INR 39736,Utilities
annual renewal billed by Microsoft,Cloud/Software
AgriSupply finished goods procurement,Inventory
HP STORE office pens,Office Supplies
telephone charges billed by Vodafone Amt INR 39736,Utilities
PaperMart invoice for printer toner,Office Supplies
Blue Dart - courier charges for corporate account ref:926762,Logistics
Google Cloud invoice for developer tools,Cloud/Software
XpressBees invoice for last mile shipment Amt INR 39736,Logistics
Energy Board invoice for broadband invoice,Utilities
CESC inv0ice for water utility chg,Utilities
Atlassian invoice for database hosting ref:926762,Cloud/Software
Local Office Mart - printer paper for corporate account ref:926762,Office Supplies
SaaS license from Microsoft ref:926762,Cloud/Software
Local Office Mart invoice for printer paper,Office Supplies
ChemStore invoice for industrial inventory ref:926762,Inventory
express parcel from FedEx,Logistics
AgriSupply - raw material purchase for corporate account INV-2026-8573,Inventory
water utility charges from Tata Power,Utilities
manufacturing supplies from AgriSupply INV-2026-8573,Inventory
DHL express parcel Amt INR 39736,Logistics
Municipal Water - broadband invoice for corporate account,Utilities
VODAFONE electricity bill PO#19232,Utilities
printer paper from Office Depot INV-2026-8573,Office Supplies
water utility chg billed by Energy Board PO#19232,Utilities
AgriSupply invoice for metal fasteners PO#19232,Inventory
collaboration software from Atlassian,Cloud/Software
CESC invoice for water utility charges,Utilities
Staples - desk supplies for corporate account INV-2026-8573,Office Supplies
Local Office Mart invoice for staplers,Office Supplies
Blue Dart invoice for courier charges ref:926762,Logistics
flight ticket from MakeMyTrip,Travel
Industrial Hub invoice for raw material purchase,Inventory
client meeting travel billed by Uber ref:926762,Travel
Delhivery - shipping surcharge for corporate account Amt INR 39736,Logistics
PrintHub invoice for desk supplies INV-2026-8573,Office Supplies
MUNICIPAL WATER gas utility payment PO#19232,Utilities
SpiceJet - hotel accommodation for corporate account,Travel
ELECTROPARTS finished goods procurement INV-2026-8573,Inventory
industrial inventory billed by ChemStore ref:926762,Inventory
HP Store printer toner,Office Supplies
Global Traders invoice for raw material purchase ref:926762,Inventory
Microsoft - software subscription for corporate account PO#19232,Cloud/Software
SKU inventory purchase billed by ElectroParts PO#19232,Inventory
telephone charges from Energy Board INV-2026-8573,Utilities
Staples - office pens for corporate account INV-2026-8573,Office Supplies
warehouse delivery from Gati INV-2026-8573,Logistics
Salesforce CRM subscription Amt INR 39736,Cloud/Software
cargo handling billed by Delhivery INV-2026-8573,Logistics
PaperMart - notebooks for corporate account Amt INR 39736,Office Supplies
Oracle collaboration software INV-2026-8573,Cloud/Software
Mega Wholesale packaging materials,Inventory
HP Store staplers,Office Supplies
printer cartridges from Local Office Mart Amt INR 39736,Office Supplies
OFFICE DEPOT desk supplies PO#19232,Office Supplies
Municipal Water internet bill,Utilities
Microsoft developer tools INV-2026-8573,Cloud/Software
OLA lodging charges PO#19232,Travel
DELHIVERY air freight,Logistics
Blue Dart - last mile shipment for corporate account,Logistics
ATLASSIAN saas license PO#19232,Cloud/Software
office stationery from Canon Supplies PO#19232,Office Supplies
warehouse stock replenishment from ChemStore ref:926762,Inventory
bulk procurement of components from SteelWorks ref:926762,Inventory
collaboration software from Atlassian PO#19232,Cloud/Software
utility surcharge from BSNL INV-2026-8573,Utilities
Mega Wholesale SKU inventory purchase,Inventory
utility surcharge from Jio Fiber,Utilities
courier charges from Delhivery,Logistics
Airtel meter consumption charges,Utilities
road transport from Blue Dart,Logistics
AgriSupply packaging materials INV-2026-8573,Inventory
last mile shipment from FedEx ref:926762,Logistics
PrintHub - printer paper for corporate account,Office Supplies
printer cartridges from HP Store,Office Supplies
OpenAI monthly compute usage Amt INR 39736,Cloud/Software
client meeting travel from Marriott,Travel
meter consumption charges billed by Energy Board,Utilities
packaging materials from Global Traders,Inventory
Canon Supplies whiteboard markers,Office Supplies
packaging materials billed by AgriSupply ref:926762,Inventory
Salesforce invoice for CRM subscription,Cloud/Software
PrintHub invoice for desk supplies INV-2026-8573,Office Supplies
desk supplies billed by Canon Supplies,Office Supplies
notebooks from Office Depot,Office Supplies
Airtel - internet bill for corporate account PO#19232,Utilities
Energy Board gas utility payment,Utilities
DHL shipping surcharge,Logistics
software subscription from Microsoft,Cloud/Software
Vodafone - meter consumption charges for corporate account INV-2026-8573,Utilities
BSNL office electricity usage,Utilities
Microsoft invoice for cloud hosting,Cloud/Software
airport transfer billed by Ola INV-2026-8573,Travel
Adobe invoice for cloud hosting,Cloud/Software
TATA POWER utility surcharge INV-2026-8573,Utilities
